"publisher_name","PublisherID","parent_publisher_type","publisher_type","publisher_tags","return_on_investment (ROI)","cost_per_acquisition (CPA)","cost_per_click (CPC)","impressions","all_clicks","total_conversion_rate","total_aov","pending_aov","approved_aov","bonus_aov","declined_aov","total_transactions","pending_transactions","approved_transactions","bonus_transactions","declined_transactions","total_revenue","pending_revenue","approved_revenue","bonus_revenue","declined_revenue","total_commission","pending_commission","approved_commission","bonus_commission","declined_commission","total_influence","converted_solo","converted_awin","assisted_awin","assisted_awin_1st","assisted_other_channels"
"Envolve Tech","531021","Content","Editorial Content","","8.33","38.93","2.04","0","439","5.24","324.42","0","324.42","0","146.8","23","0","23","0","2","7461.66","0","7461.66","0","293.6","895.4","0","895.4","0","35.23","25","25","0","0","0","0"
"intent.ly Overlays","80338","Display","Direct Traffic","","8.33","24.29","3.86","0","107","15.89","202.38823529411764","0","202.38823529411764","0","0","17","0","17","0","0","3440.6","0","3440.6","0","0","412.88","0","412.88","0","0","17","17","0","0","0","0"
"Wickfire","233219","Content","Discount Code","","8.33","34.08","10.41","0","36","30.56","284.0390909090909","0","284.0390909090909","0","223.88","11","0","11","0","1","3124.43","0","3124.43","0","223.88","374.93","0","374.93","0","26.87","15","12","0","3","3","0"
"Demand.io","177945","Content","Discount Code","","8.33","25.66","4.09","0","69","15.94","213.84454545454545","0","213.84454545454545","0","530.198","11","0","11","0","5","2352.29","0","2352.29","0","2650.99","282.27","0","282.27","0","318.12","16","14","2","0","0","0"
"Deal Savings LLC","194605","Content","Discount Code","","8.33","22.88","1.6","0","43","6.98","190.64333333333332","0","190.64333333333332","0","0","3","0","3","0","0","571.93","0","571.93","0","0","68.63","0","68.63","0","0","3","3","0","0","0","0"
"GoCashBack.com","196639","Content","Cashback","","8.34","17.66","2.21","0","8","12.5","147.2","0","147.2","0","0","1","0","1","0","0","147.2","0","147.2","0","0","17.66","0","17.66","0","0","1","1","0","0","0","0"
"Kelkoo USA","638423","Display","Ad Networks","","8.33","15.95","0.02","0","870","0.11","132.9","0","132.9","0","0","1","0","1","0","0","132.9","0","132.9","0","0","15.95","0","15.95","0","0","1","1","0","0","0","0"
"Vihaan Web Solutions Pvt. Ltd.","525789","Content","Discount Code","","45.33","12","0.33","0","36","2.78","543.98","0","543.98","0","1373.26","1","0","1","0","2","543.98","0","543.98","0","2746.52","12","0","12","0","329.58","3","2","1","0","0","0"
"Muchila Holdings Ltd.","349653","Content","Editorial Content","","8.32","3.22","0.05","0","59","1.69","26.8","0","26.8","0","0","1","0","1","0","0","26.8","0","26.8","0","0","3.22","0","3.22","0","0","1","1","0","0","0","0"
"Awin Broken Links Account","13430","Display","Subnetworks","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Example Publisher","45628","Display","Ad Networks","","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","11"
"FMTC","51861","Content","Discount Code","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shopnomix LLC - Content & Creator","72311","Search","Direct Linking","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MNP Enterprises, LLC","73286","Content","Cashback","","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Skimlinks","78888","Display","Subnetworks","","0","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Love Savings Group","96290","Content","Discount Code","","0","0","0","0","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TakeAds GmbH","101248","Display","Subnetworks","","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smart Search Tech","105033","Search","Direct Linking","","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CouponChief.com LLC","139765","Content","Discount Code","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"YIELDKIT GmbH - Content sites","143466","Display","Subnetworks","","0","0","0","0","1788","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"digidip UK and USA - Content","154750","Display","Subnetworks","","0","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DontPayFull.com","162254","Content","Discount Code","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Redbrain Ltd","176013","Search","","","0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Skimlinks Coupon Deal sites","181013","Display","Subnetworks","","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Karma Shopping LTD","208997","Content","Shopping Directory","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"digidip UK and USA - Incentivized","249371","Display","Subnetworks","","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"YIELDKIT GmbH - Incentive Sites","271453","Display","Subnetworks","","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ad Practitioners, LLC","292379","Content","Editorial Content","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Penske Media Corporation","299513","Content","Editorial Content","","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MK INFOTECH PTE. LTD.","311227","Content","Discount Code","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandreward - Incentivized","313605","Display","Subnetworks","","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yazing","322883","Content","Cashback","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Discountify","332975","Content","Discount Code","","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Extrabux, Inc.","349255","Content","Discount Code","","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wildfire Systems, Inc.","407399","Content","Cashback","","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"advanced store (global) - Smart Advertising","412875","Display","Subnetworks","","0","0","0","0","3736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coupert","504061","Content","Discount Code","","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Loyalize","518347","Content","Loyalty","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linkbux","685769","Display","Subnetworks","","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FatCoupon Technology Ltd","789945","Content","Cashback","","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SimplyCodes","796279","Content","Discount Code","","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MaxRebates","822461","Content","Cashback","","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TakeAds GmbH - Incentive","922583","Display","Subnetworks","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"couponsyum","927255","Content","Editorial Content","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"nisa associates","960967","Display","Subnetworks","","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Partnermatic","969833","Display","Subnetworks","","0","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rewardoo","1004849","Content","Bloggers & Social Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smart Influence GmbH","1018583","Display","Direct Traffic","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"STELLIO LTD","1037343","Content","Discount Code","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joko","1052075","Content","Cashback","","0","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moolah","1110851","Content","Discount Code","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LinkPrefer","1137879","Content","Bloggers & Social Content","","0","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diginlink Sub Network","1197794","Display","Subnetworks","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lkmstore Sub Network","1201796","Display","Subnetworks","","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDLOOK LTD","1300061","Content","Shopping Directory","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Circlegoods.net","1460174","Content","Bloggers & Social Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandreward - Display","1517491","Display","Subnetworks","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SHOPTASTIC PTE. LTD.","1528223","Content","Cashback","","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IN Technologie Inc","1534241","Display","Subnetworks","","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linkbux Content","1613500","Content","Bloggers & Social Content","","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SHOPSZZ Retail","1711767","Content","Bloggers & Social Content","","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Converg Experts","1727095","Content","Editorial Content","","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Montgomery","1729023","Content","Media Content","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"grabcouponss","1743683","Content","Bloggers & Social Content","","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"