Date,Group Id,List/Segment,Click Rate,Open Rate,Total Placed Order Value,Campaign Message Channel
2024,QTjLyj,PS - DENIRO PURCHASERS,0.09091,0.63636,105.6,Email
2024,R9Dbqh,MLK24 - SIZE 36 Customers,0.03734,0.52573,203.27,Email
2024,RBbc6T,NEVER USED WELCOME SMS,0.02301,N/A,230.01001,SMS
2024,RFLWPQ,SALE predictive,0.17114,0.72819,3472.45001,Email
2024,RHwY9Q,Engaged website viewers - recent,0.09189,0.61351,735.82001,Email
2024,RKmZnJ,Full Price Customers,0.0106,0.43246,858.98,Email
2024,RcpaHX,FINAL SALE PURCHASED DURING SALE TO EXCLUDE,0.0962,0.60253,0.0,Email
2024,RhJfVJ,GD: Engaged 90,0.01365,0.5949,238.60001,Email
2024,Rit4TJ,PS - ALL WIDE LEG VIEWERS,0.04076,0.53376,429.45999,Email
2024,RjFkHB,All Accounts,0.01122,0.37471,70403.47006,Email
2024,RjFkHB,All Accounts,0.01994,N/A,1714.10001,SMS
2024,RmvWhW,MLK24 - SIZE 38 Customers,0.03241,0.5216,53.25,Email
2024,RugVCp,PS - SLIM CUSTOMERS,0.02751,0.44076,0.0,Email
2024,S7ZKuh,MLK24 - SIZE 30 Customers,0.04218,0.46573,217.87,Email
2024,SBx3Fw,Try Before You Buy,0.00345,0.31215,376.0,Email
2024,SGHp8K,ALL SHOPIFY CUSTOMERS,0.02953,0.44802,8114.88998,Email
2024,SR98eU,NEVER USED WELCOME EMAIL,0.00666,0.37728,857.56,Email
2024,STthta,FACEBOOK GIVEAWAY - BFCM,0.0,0.10791,0.0,Email
2024,SVPMP6,End of Season Sale Retarget,0.07476,0.5808,3289.88995,Email
2024,SWz5cD,people who have not purchased in 2024 but have signed up prior to 1/1/2024,0.00563,0.3898,211.5,Email
2024,SZA3KA,PS - ALL SKINNY VIEWERS,0.05187,0.45051,2860.37998,Email
2024,SuWFSY,Viewed sale items no purchase,0.08515,0.57642,4925.41993,Email
2024,T5P6KR,NON SALE PURCHASERS NOT PURCHASED 90 DAYS,0.01095,0.36346,611.30002,Email
2024,TAAZnf,SMS Clicked All time,0.06423,N/A,1834.39999,SMS
2024,TAEZVT,FINAL SALE PURCHASERS - use,0.05568,0.49381,23085.03993,Email
2024,TAEZVT,FINAL SALE PURCHASERS - use,0.09686,N/A,1180.53002,SMS
2024,TmvXE3,BAZO Not Ordered 180 Days,0.02155,0.4229,976.95,Email
2024,TmvXE3,BAZO Not Ordered 180 Days,0.07171,N/A,0.0,SMS
2024,Tpt5WW,Never Opened Email,0.00276,0.01746,0.0,Email
2024,Tpt5WW,Never Opened Email,0.00524,N/A,0.0,SMS
2024,TxjkxE,SALE Purchasers not in 2024,0.03198,0.42794,19166.25992,Email
2024,TxjkxE,SALE Purchasers not in 2024,0.08269,N/A,1457.97,SMS
2024,UAxrRa,MLK24 - MEDIUM Customers,0.07661,0.60081,0.0,Email
2024,UCUs2A,MLK24 - XXLARGE Customers,0.02941,0.70588,0.0,Email
2024,UECGQq,VIP Historical 2+ Orders,0.03226,0.53199,1374.63997,Email
2024,UJPBpB,SMS Consent Campaign,0.02701,N/A,629.3,SMS
2024,UNh82B,VIP Historical $500+,0.02745,0.51881,1154.63997,Email
2024,UXX5DD,PS - BRANDO PURCHASERS,0.05319,0.5,166.76,Email
2024,UhcUyi,MLK24 - XLARGE Customers,0.07025,0.64463,64.67,Email
2024,UpgDUw,Purchasers not in 2024,0.02457,0.45748,1121.43,Email
2024,UpgDUw,Purchasers not in 2024,0.03716,N/A,77.15,SMS
2024,Uq9xgf,PS - BAGGY PURCHASERS,0.0,1.0,0.0,Email
2024,UqCydr,SMS List,0.10462,N/A,0.0,SMS
2024,UrRdsZ,MINT | Engaged 30 Days,0.04346,0.72057,483.0,Email
2024,VC6dkZ,ENGAGED RESEND,0.0777,0.72973,556.59003,Email
2024,VCCmHC,Resend Last Campaign,0.03445,0.48434,8613.41991,Email
2024,VJ78Ly,PS - ALL SLIM VIEWERS,0.02835,0.4695,313.12,Email
2024,VSrq4M,BAZO Final Sale Purchasers,0.05884,0.43502,9484.29995,Email
2024,VSrq4M,BAZO Final Sale Purchasers,0.14286,N/A,153.09,SMS
2024,VfTHZ4,Never Purchased,0.00451,0.26309,1831.59999,Email
2024,VfTHZ4,Never Purchased,0.01564,N/A,0.0,SMS
2024,Vh7YHV,MLK24 - SIZE 29 Customers,0.03297,0.49725,0.0,Email
2024,VzgYFL,NEVER USED WELCOME SMS NO EMAIL,0.01288,N/A,0.0,SMS
2024,W7hxh8,Never Purchased All Styles,0.01251,0.36023,113.52,Email
2024,W7hxh8,Never Purchased All Styles,0.04535,N/A,0.0,SMS
2024,WCaYKU,FINAL SALE VIEWERS,0.03855,0.44193,13628.16,Email
2024,WCaYKU,FINAL SALE VIEWERS,0.08203,N/A,1552.55001,SMS
2024,WTAnVN,ARCHIVE SALE EMAILS,0.02189,0.36217,824.24999,Email
2024,WUBAUn,SALE Never Purchased Viewers,0.01832,0.37221,1074.91999,Email
2024,WUBAUn,SALE Never Purchased Viewers,0.07232,N/A,0.0,SMS
2024,WWimG9,MLK24 - SIZE 28 Customers,0.02273,0.48864,0.0,Email
2024,WZJYW4,Master [All Subscribers],0.00775,0.28133,26363.8499,Email
2024,WnaN4p,Never Purchased Created 90 Days,0.00589,0.28192,2830.39002,Email
2024,WnaN4p,Never Purchased Created 90 Days,0.00917,N/A,0.0,SMS
2024,WqgzrP,MLK24 - SIZE 40 Customers,0.03306,0.54545,0.0,Email
2024,Wt85E9,MLK24 - SIZE 31 Customers,0.03448,0.49425,253.99999,Email
2024,Wv4TwX,ADDED FROM SHOPIFY,0.00342,0.31573,1881.20001,Email
2024,WwXW8j,PS - ALL BAGGY VIEWERS,0.02703,0.37838,0.0,Email
2024,WzqyVG,PS - SKINNY CUSTOMERS,0.03433,0.37833,1314.08,Email
2024,X5m8F4,Customers Likely to Buy again #2,0.1457,0.71656,780.01999,Email
2024,X7N53u,AI - ENGAGED BUT NO PURCHASE,0.10093,0.64782,1558.59001,Email
2024,X8FJEL,PS - SHORTS PURCHASERS,0.2,0.6,0.0,Email
2024,XEFpRQ,FINAL SALE ONLY PURCHASERS,0.04869,0.45627,14107.03996,Email
2024,XEFpRQ,FINAL SALE ONLY PURCHASERS,0.11202,N/A,1091.79002,SMS
2024,XF5rER,Full List Non Suppressed,0.00777,0.34046,30137.32992,Email
2024,XF5rER,Full List Non Suppressed,0.01857,N/A,539.54,SMS
2024,XQGLBR,RECENTLY ADDED - NO ORDERS,0.00842,0.28782,1081.61002,Email
2024,XXDbXV,MLK24 - SIZE 33 Customers,0.06761,0.54635,1943.88998,Email
2024,XfyTr7,Engaged no purchase - 30 day,0.02185,0.6759,1009.0,Email
2024,XgVT7G,MLK24 - LARGE Customers,0.07216,0.62887,612.16,Email
2024,XnwEJe,Leads - Non Purchasers,0.00255,0.29325,209.7,Email
2024,XrFvH9,CAMPAIGN RESEND,0.01163,0.27519,0.0,Email
2024,XsGCRa,FINAL SALE VIEWERS PREDICTIVE,0.16508,0.63648,12238.81998,Email
2024,XsGCRa,FINAL SALE VIEWERS PREDICTIVE,0.22747,N/A,691.37,SMS
2024,Xt6g2m,PS - ALL SHORTS VIEWERS,0.01042,0.55208,0.0,Email
2024,XtiUji,Customers Likely to Buy again #1,0.19759,0.71807,449.73999,Email
2024,XyuUeX,MLK24 - SIZE 34 Customers,0.03204,0.50114,1162.28001,Email
2024,Xzr7E2,FROM META SHOP,0.00778,0.38712,0.0,Email
2024,YbHFWG,MLK24 - TOPS CUSTOMERS,0.05556,0.77778,0.0,Email
2024,Yiadmv,MLK24 - SIZE 32 Customers,0.05118,0.5261,1469.79999,Email
2024,Yim6cg,Full List Email,0.00835,0.33627,2870.99001,Email
2024,YjztZQ,BF Sale Customers Not Purchases Black Friday,0.02597,0.49634,1279.74,Email
2024,YnJ5Rv,PS - ALL TOPS VIEWERS,0.03784,0.44865,0.0,Email
2024,YqRA3Z,PS - SKINNY PURCHASERS,0.10832,0.50656,1670.96,Email
2024,YqjPpv,Placed order - 15 Days,0.04736,0.56297,1102.93997,Email
2024,YrG67N,PS - TOPS PURCHASERS,0.05263,0.73684,0.0,Email
2024,YvBNNX,Bazo Exclude,0.04095,0.52825,529.2,Email
